unit_id,area,neuron_type,n_same_cat_trials,n_diff_cat_trials,same_cat_diff_mean,same_cat_diff_sem,diff_cat_diff_mean,diff_cat_diff_sem,difference_pvalue,same_cat_ratio_mean,diff_cat_ratio_mean,ratio_pvalue,same_cat_correlation,diff_cat_correlation,adaptation_effect,significant_congruence_effect,is_first_cat_selective,is_first_num_selective,is_second_cat_selective,is_second_num_selective
264,OFC,encoding_only,72,216,0.13664459442448504,0.08550857149980495,0.15488013648469373,0.06101731191066617,0.8759233133557116,25.506397546220537,31.40548865672984,0.47778030804041294,0.11283861339147402,0.07732179334400228,none,False,False,False,False,False
265,OFC,delay_only,72,216,-1.5447967185905809,0.6996577648065477,0.4049099572716961,0.48914156609277,0.03872721968444669,7.835423319242242,7.82049729986312,0.998448272984497,0.46602615562799155,0.33584024613124297,adaptation,True,True,False,True,False
266,OFC,encoding_only,72,216,0.24550113274622495,0.21120323118130555,0.29601397100892785,0.12923110679224709,0.843066619889936,35.28363656965336,50.65871648890593,0.2904370594311649,0.24687680018291797,0.14981380981212808,none,False,False,False,True,True
267,OFC,encoding_only,72,216,-0.00013758402680927008,0.1906376723249901,0.02720498501684705,0.1368023251027468,0.9167510061375607,41.85014757994385,45.991630531085825,0.7311511031848801,-0.010976621660206465,0.0818875930981862,none,False,False,False,False,True
268,OFC,encoding_only,72,216,0.34159823547624907,0.14321986599806744,0.21865159098277254,0.08483708117050195,0.4665091841705953,47.4520179935053,43.712488111479345,0.7430663950557044,0.0060578565849339315,0.20377102356501545,none,False,False,False,False,True
269,OFC,encoding_only,72,216,-0.000243266625318909,0.2068057840930527,0.013669580450038172,0.11080241976700092,0.9509542115100619,22.985803077967574,38.273278634047294,0.1482132668187796,0.0450730737318571,0.06281361490413095,none,False,False,False,False,True
270,OFC,encoding_only,72,216,-0.5332965334106898,0.36616387454976707,-1.0292475498030766,0.2095196828393049,0.2386250705395251,3.8440838346304975,3.7213544257868767,0.9707126199807663,0.2580161447812422,0.33869374658138357,none,False,False,False,False,False
272,OFC,encoding_only,72,216,0.17744227179732164,0.1523570227361143,0.24142706281506257,0.08851511925341332,0.7176245022792478,44.59046692747082,41.93775740623722,0.81026557864718,0.1326351424215109,0.08628925851869448,none,False,False,False,False,False
274,OFC,encoding_only,72,216,0.31426680924606704,0.12881198892984502,0.2551145147451726,0.0768652240071391,0.6984029424613689,47.36278879458596,41.451602576570785,0.5608762427927297,0.13743310305715248,0.11555778092044991,none,False,False,False,False,True
277,OFC,encoding_only,72,216,0.16385691274060696,0.11174031230918187,-0.013676534134432816,0.06877236775278098,0.19111105202912745,29.607108877222572,25.873768551309443,0.6619692203395822,0.2947848071165363,0.06270393099667705,none,False,False,False,False,True
278,OFC,encoding_only,72,216,2.0075614387778566,0.6010167731750563,1.043151520716876,0.30566709793934027,0.1286425913885655,1.647646358676976,13.288049597098187,0.3119327778493842,0.18539830513291047,0.2492209670091726,none,False,False,True,False,True
279,PT,delay_only,72,216,0.10915478577574197,0.17021495192172179,-0.05911317629840691,0.13340641878720083,0.5035066257428173,36.418215153342665,39.5538664687619,0.8025744962372583,0.2583357703436739,0.006947923369418949,none,False,True,False,True,False
