trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,error_type
203.0,2.9824,1.0,5.0,,,,1.0,4.0,5,5,1023.0,4024.0,4.0,2.0,1.0,5.0,5.0,2.802410000000001,Different,correct
204.0,2.7284,1.0,5.0,,,,2.0,4.0,5,5,2029.0,4026.0,2.0,1.0,1.0,5.0,5.0,2.6336800000000014,Different,correct
205.0,14.455,1.0,0.0,,,,4.0,1.0,1,1,4017.0,1019.0,1.0,1.0,0.0,0.0,0.0,3.8048900000000017,Different,correct
206.0,1.9842,1.0,5.0,,,,1.0,3.0,1,5,1017.0,3025.0,3.0,2.0,1.0,5.0,5.0,3.8064500000000017,Different,correct
207.0,4.1976,1.0,0.0,,,,2.0,1.0,5,5,2021.0,1029.0,1.0,1.0,0.0,0.0,0.0,4.0324300000000015,Different,correct
208.0,2.6777,1.0,5.0,,,,2.0,3.0,1,5,2012.0,3028.0,3.0,2.0,1.0,5.0,5.0,3.9515600000000015,Different,correct
209.0,2.0772,1.0,1.0,,,,2.0,1.0,1,5,2019.0,1029.0,2.0,1.0,1.0,1.0,1.0,3.9813400000000017,Different,correct
210.0,1.894,1.0,5.0,,,,3.0,1.0,5,5,3029.0,1024.0,1.0,2.0,1.0,5.0,5.0,3.9701500000000016,Different,correct
211.0,6.5006,1.0,5.0,,,,3.0,4.0,5,5,3028.0,4029.0,3.0,1.0,1.0,5.0,5.0,4.395340000000002,Different,correct
212.0,1.8773,1.0,1.0,,,,4.0,2.0,5,1,4024.0,2014.0,2.0,2.0,1.0,1.0,1.0,4.137440000000002,Different,correct
213.0,1.9531,1.0,1.0,,,,4.0,1.0,5,1,4022.0,1014.0,1.0,2.0,1.0,1.0,1.0,4.034510000000002,Different,correct
214.0,5.7858,1.0,0.0,,,,4.0,2.0,5,1,4021.0,2012.0,2.0,1.0,0.0,0.0,0.0,4.340250000000002,Different,correct
215.0,2.9978,1.0,1.0,,,,1.0,2.0,1,5,1015.0,2022.0,1.0,1.0,1.0,1.0,1.0,3.1945300000000016,Different,correct
216.0,2.6655,1.0,0.0,,,,1.0,3.0,1,1,1011.0,3018.0,1.0,2.0,0.0,0.0,0.0,3.2626600000000017,Different,correct
217.0,2.371,1.0,0.0,,,,1.0,2.0,1,5,1019.0,2025.0,2.0,1.0,0.0,0.0,0.0,3.080000000000001,Different,correct
218.0,1.899,1.0,5.0,,,,4.0,3.0,5,5,4024.0,3027.0,4.0,1.0,1.0,5.0,5.0,3.0021300000000015,Different,correct
219.0,1.7746,1.0,5.0,,,,4.0,4.0,1,5,4018.0,4029.0,4.0,2.0,1.0,5.0,5.0,2.9718700000000013,Same,correct
220.0,2.9635,1.0,1.0,,,,2.0,1.0,1,1,2017.0,1019.0,2.0,1.0,1.0,1.0,1.0,3.0788200000000012,Different,correct
221.0,3.0733,1.0,1.0,,,,3.0,1.0,1,1,3012.0,1019.0,1.0,2.0,1.0,1.0,1.0,2.7360900000000017,Different,correct
222.0,1.9605,1.0,1.0,,,,3.0,1.0,1,5,3014.0,1021.0,3.0,1.0,1.0,1.0,1.0,2.7444100000000016,Different,correct
223.0,2.6644,1.0,1.0,,,,4.0,3.0,1,1,4016.0,3018.0,4.0,1.0,1.0,1.0,1.0,2.8155400000000013,Different,correct
224.0,3.1186,1.0,0.0,,,,1.0,3.0,1,5,1012.0,3028.0,3.0,1.0,0.0,0.0,0.0,2.5488200000000014,Different,correct
225.0,1.744,1.0,0.0,,,,1.0,4.0,5,5,1024.0,4029.0,1.0,2.0,0.0,0.0,0.0,2.4234400000000016,Different,correct
226.0,1.6563,1.0,1.0,,,,3.0,4.0,5,1,3023.0,4011.0,4.0,2.0,1.0,1.0,1.0,2.3225200000000017,Different,correct
227.0,2.8402,1.0,0.0,,,,4.0,3.0,5,1,4023.0,3013.0,4.0,2.0,0.0,0.0,0.0,2.3694400000000013,Different,correct
228.0,1.6504,1.0,1.0,,,,1.0,1.0,1,1,1015.0,1019.0,1.0,2.0,1.0,1.0,1.0,2.3445800000000014,Same,correct
229.0,2.016,1.0,0.0,,,,3.0,3.0,5,1,3026.0,3018.0,2.0,2.0,0.0,0.0,0.0,2.3687200000000015,Same,correct
230.0,1.8512,1.0,1.0,,,,2.0,2.0,1,1,2019.0,2012.0,2.0,1.0,1.0,1.0,1.0,2.2574900000000016,Same,correct
