trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
141.0,3.754281759262085,1.0,0.0,,,,4.0,1.0,1,5,4012.0,1029.0,1.0,1.0,0.0,0.0,0.0,2.9447320461273194,Different,Different,correct
142.0,5.059052467346191,1.0,0.0,,,,2.0,1.0,1,1,2016.0,1013.0,2.0,2.0,0.0,0.0,0.0,3.125827121734619,Different,Same,correct
143.0,6.723986864089966,1.0,1.0,,,,2.0,3.0,5,1,2022.0,3017.0,3.0,2.0,1.0,1.0,1.0,3.5814624547958376,Different,Different,correct
144.0,3.3781821727752686,0.0,1.0,,,,4.0,3.0,5,1,4022.0,3016.0,3.0,1.0,0.0,0.0,0.0,3.4322322845458983,Different,Different,swap error
145.0,10.700188159942627,0.0,1.0,,,,1.0,4.0,1,5,1014.0,4028.0,4.0,1.0,0.0,0.0,0.0,4.313307595252991,Different,Different,other error
146.0,4.084481477737427,1.0,0.0,,,,4.0,3.0,5,1,4026.0,3014.0,4.0,2.0,0.0,0.0,0.0,4.491960191726685,Different,Different,correct
147.0,4.207368612289429,1.0,1.0,,,,4.0,3.0,1,5,4011.0,3021.0,4.0,1.0,1.0,1.0,1.0,4.801206088066101,Different,Different,correct
148.0,4.105567932128906,1.0,0.0,,,,3.0,4.0,5,5,3029.0,4022.0,3.0,2.0,0.0,0.0,0.0,4.979896354675293,Different,Same,correct
149.0,4.043376445770264,1.0,0.0,,,,2.0,4.0,5,5,2029.0,4025.0,2.0,2.0,0.0,0.0,0.0,4.903838896751404,Different,Same,correct
150.0,3.4832046031951904,1.0,0.0,,,,4.0,1.0,1,1,4013.0,1011.0,1.0,1.0,0.0,0.0,0.0,4.953969049453735,Different,Same,correct
151.0,5.519961595535278,1.0,0.0,,,,1.0,4.0,5,1,1028.0,4016.0,4.0,1.0,0.0,0.0,0.0,5.130537033081055,Different,Different,correct
152.0,2.092829465866089,1.0,1.0,,,,1.0,3.0,1,1,1016.0,3011.0,1.0,1.0,1.0,1.0,1.0,4.833914732933044,Different,Same,correct
153.0,4.5955650806427,1.0,0.0,,,,1.0,2.0,5,1,1027.0,2014.0,2.0,1.0,0.0,0.0,0.0,4.621072554588318,Different,Different,correct
154.0,4.805732011795044,0.0,0.0,,,,2.0,1.0,1,1,2016.0,1011.0,2.0,1.0,1.0,1.0,1.0,4.763827538490295,Different,Same,swap error
155.0,1.9723689556121826,1.0,1.0,,,,4.0,1.0,5,1,4022.0,1013.0,1.0,2.0,1.0,1.0,1.0,3.891045618057251,Different,Different,correct
156.0,6.083910703659058,1.0,1.0,,,,3.0,4.0,1,5,3017.0,4029.0,3.0,1.0,1.0,1.0,1.0,4.090988540649414,Different,Different,correct
157.0,2.691734552383423,1.0,5.0,,,,1.0,2.0,5,5,1023.0,2029.0,2.0,2.0,1.0,5.0,5.0,3.9394251346588134,Different,Same,correct
