trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
138.0,2.0429272651672363,1.0,1.0,,,,4.0,4.0,5,1,4029.0,4017.0,4.0,2.0,1.0,1.0,1.0,4.6838017225265505,Same,Different,correct
139.0,8.501640796661377,1.0,0.0,,,,2.0,1.0,1,1,2018.0,1016.0,2.0,2.0,0.0,0.0,0.0,4.641427397727966,Different,Same,correct
140.0,3.252514600753784,1.0,5.0,,,,2.0,3.0,1,5,2018.0,3021.0,3.0,2.0,1.0,5.0,5.0,4.268783831596375,Different,Different,correct
141.0,3.0789124965667725,1.0,0.0,,,,4.0,1.0,1,5,4012.0,1029.0,1.0,1.0,0.0,0.0,0.0,3.8872251749038695,Different,Different,correct
142.0,3.9897007942199707,1.0,0.0,,,,2.0,1.0,1,1,2016.0,1013.0,2.0,2.0,0.0,0.0,0.0,3.948667025566101,Different,Same,correct
143.0,2.855280876159668,1.0,1.0,,,,2.0,3.0,5,1,2022.0,3017.0,3.0,2.0,1.0,1.0,1.0,4.011371207237244,Different,Different,correct
144.0,5.704617977142334,0.0,1.0,,,,4.0,3.0,5,1,4022.0,3016.0,3.0,1.0,0.0,0.0,0.0,4.304406452178955,Different,Different,swap error
145.0,4.34122633934021,1.0,0.0,,,,1.0,4.0,1,5,1014.0,4028.0,4.0,1.0,0.0,0.0,0.0,4.444970035552979,Different,Different,correct
146.0,4.8228161334991455,1.0,0.0,,,,4.0,3.0,5,1,4026.0,3014.0,4.0,2.0,0.0,0.0,0.0,4.28711040019989,Different,Different,correct
147.0,5.412126302719116,1.0,1.0,,,,4.0,3.0,1,5,4011.0,3021.0,4.0,1.0,1.0,1.0,1.0,4.400176358222962,Different,Different,correct
148.0,10.039346694946289,1.0,0.0,,,,3.0,4.0,5,5,3029.0,4022.0,3.0,2.0,0.0,0.0,0.0,5.1998183012008665,Different,Same,correct
149.0,4.617947101593018,1.0,0.0,,,,2.0,4.0,5,5,2029.0,4025.0,2.0,2.0,0.0,0.0,0.0,4.811448931694031,Different,Same,correct
150.0,3.46286678314209,0.0,1.0,,,,4.0,1.0,1,1,4013.0,1011.0,1.0,1.0,0.0,0.0,0.0,4.832484149932862,Different,Same,swap error
151.0,4.9515979290008545,1.0,0.0,,,,1.0,4.0,5,1,1028.0,4016.0,4.0,1.0,0.0,0.0,0.0,5.01975269317627,Different,Different,correct
152.0,4.025665044784546,1.0,1.0,,,,1.0,3.0,1,1,1016.0,3011.0,1.0,1.0,1.0,1.0,1.0,5.023349118232727,Different,Same,correct
153.0,9.480319738388062,1.0,0.0,,,,1.0,2.0,5,1,1027.0,2014.0,2.0,1.0,0.0,0.0,0.0,5.685853004455566,Different,Different,correct
