set,category,item_number,item_condition,filename,image_path,resmem_score,memnet_score
stimuli2,Food,16,1,16.jpg,..\psychophysics_WM\stimuli2\Food\16.jpg,0.8939545750617981,0.9257597923278809
stimuli2,Food,17,1,17.jpg,..\psychophysics_WM\stimuli2\Food\17.jpg,0.9793470501899719,0.9001332521438599
stimuli2,Food,18,1,18.jpg,..\psychophysics_WM\stimuli2\Food\18.jpg,0.8184642791748047,0.8370072245597839
stimuli2,Food,19,1,19.jpg,..\psychophysics_WM\stimuli2\Food\19.jpg,0.8743476867675781,0.8751295804977417
stimuli2,Food,20,5,20.jpg,..\psychophysics_WM\stimuli2\Food\20.jpg,0.9421975612640381,0.9413507580757141
stimuli2,Food,21,5,21.jpg,..\psychophysics_WM\stimuli2\Food\21.jpg,0.9190031290054321,0.9572575688362122
stimuli2,Food,22,5,22.jpg,..\psychophysics_WM\stimuli2\Food\22.jpg,0.8930885791778564,0.8356971740722656
stimuli2,Food,23,5,23.jpg,..\psychophysics_WM\stimuli2\Food\23.jpg,0.8832610845565796,0.8515136241912842
stimuli2,Food,24,5,24.jpg,..\psychophysics_WM\stimuli2\Food\24.jpg,0.7760128974914551,0.8501579761505127
stimuli2,Food,25,5,25.jpg,..\psychophysics_WM\stimuli2\Food\25.jpg,0.8997805118560791,0.9590854048728943
stimuli2,Food,26,5,26.jpg,..\psychophysics_WM\stimuli2\Food\26.jpg,0.7557465434074402,0.8239143490791321
stimuli2,Food,27,5,27.jpg,..\psychophysics_WM\stimuli2\Food\27.jpg,0.9660944938659668,0.913605272769928
stimuli2,Food,28,5,28.jpg,..\psychophysics_WM\stimuli2\Food\28.jpg,0.8929923176765442,0.9029098749160767
stimuli2,Food,29,5,29.jpg,..\psychophysics_WM\stimuli2\Food\29.jpg,0.868762731552124,0.8997084498405457
stimuli2,Person,10,1,10.jpg,..\psychophysics_WM\stimuli2\Person\10.jpg,0.768907368183136,0.7889392971992493
stimuli2,Person,11,1,11.jpg,..\psychophysics_WM\stimuli2\Person\11.jpg,0.8798877596855164,0.8584702014923096
