unit_id,area,neuron_type,n_trials,n_stim1_categories,n_stim2_categories,n_stim1_numerosities,n_stim2_numerosities,cat_interaction_pval,cat_main_stim1_pval,cat_main_stim2_pval,cat_model_r2,cat_interaction_significant,num_interaction_pval,num_main_stim1_pval,num_main_stim2_pval,num_model_r2,num_interaction_significant,mixed_model_r2,mixed_cat1_pval,mixed_cat2_pval,mixed_num1_pval,mixed_num2_pval,mixed_selectivity_type,any_interaction_significant,is_first_cat_selective,is_second_cat_selective,is_first_num_selective,is_second_num_selective
52,AC,encoding_only,288,4,4,2,2,0.029235806766177833,0.20789333531688436,0.7005074524638302,0.0840412943176746,True,0.20124130257022368,0.8476465673297325,0.022317552334086676,0.023784725207681934,False,0.03567832204743093,0.26578072002323383,0.778678449585376,0.8141635895917037,0.03542651784231742,category_interaction,True,False,False,False,True
53,SMA,encoding_only,288,4,4,2,2,0.9284489863056662,0.2504873289563693,0.8347427843036515,0.030970011463204772,False,0.14316504043989703,0.41806055195487657,0.14654813889565751,0.01781334958599967,False,0.026900930764290787,0.2692562402255604,0.8515401066179146,0.45309933005916414,0.17027283591894457,none,False,False,False,False,False
54,SMA,encoding_only,288,4,4,2,2,0.4133762179381456,0.6260788902998018,0.9451043112631788,0.04032287497420284,False,0.3656346529472071,0.18018125220765627,0.27802089094484955,0.012457822284854925,False,0.016476143214133154,0.6431931416748575,0.9652030236093738,0.17842156731095005,0.3446804099557388,none,False,False,False,True,False
55,SMA,encoding_only,288,4,4,2,2,0.9872100790695933,0.45245032209095615,0.9272008503202371,0.019157066006638246,False,0.2519177892497835,0.7818877318107469,0.8972464518387658,0.004968798211181569,False,0.011421691665308265,0.4490401519448687,0.9236534473587521,0.799999917593185,0.9229258968740238,none,False,False,False,False,False
56,SMA,encoding_only,288,4,4,2,2,0.3170110972149459,0.08883901319956704,0.7617850332491088,0.06285869737836614,False,0.03258916718497953,0.4255792725860058,0.11840421650211118,0.025774411807189312,True,0.035142574609837496,0.11292669993689426,0.7425764026440469,0.362061977529767,0.1846390461820533,numerosity_interaction,True,False,False,False,False
57,SMA,encoding_only,288,4,4,2,2,0.11163561801766642,0.3877452323186638,0.4665026763069191,0.06880699493017595,False,0.05232940002072968,0.1606205551405852,0.020318417750224447,0.03637661680489346,False,0.04248967388801039,0.3641766943756316,0.5022055305647742,0.2316238110494022,0.017203697836143526,none,False,False,False,False,True
58,SMA,encoding_only,288,4,4,2,2,0.9561421663500347,0.758993229707844,0.047096091599663825,0.04359035596135363,False,0.4788968184048483,0.32613354919282,0.39130114631296575,0.008246373816473196,False,0.040048269797868574,0.7921456269902909,0.035348167128491086,0.23741962148810977,0.41759845242959226,none,False,False,True,False,False
59,SMA,encoding_only,288,4,4,2,2,0.5399166379952454,0.6426142539913369,0.6951002351584619,0.0391378220701466,False,0.24052467996494514,0.47344765184766946,0.20620307578200583,0.012763598197778836,False,0.018042286339108315,0.6760596602803157,0.7201042762160972,0.4808934257530654,0.24373006337639544,none,False,False,False,False,False
60,SMA,encoding_only,288,4,4,2,2,0.8635028591798264,0.08357081547209247,0.48180189991027245,0.04839465933056697,False,0.8719067912417967,0.7612261015184507,0.5942043548689684,0.0013305640397482943,False,0.03432599910679135,0.07534002587399403,0.4572992092717585,0.7554760014916859,0.4586051073049363,none,False,False,False,False,False
61,SMA,encoding_only,288,4,4,2,2,0.5486027785071208,0.8008963707747867,0.39165500289437055,0.041855182075724806,False,0.017604252700920708,0.9941638803213251,0.1352671394622411,0.027261376217693756,True,0.02142445432017548,0.8845878640622895,0.3602784172992139,0.8646272255438852,0.15802301376101993,numerosity_interaction,True,False,False,False,False
62,SMA,encoding_only,288,4,4,2,2,0.2424474590025398,0.8073002255018775,0.4955147776905958,0.052182617226764094,False,0.1909497017595206,0.30112268704158796,0.4759884270029551,0.011099736059766663,False,0.017555839502775505,0.7958285212209949,0.47462598455372784,0.2598013809189539,0.48945113519582306,none,False,False,False,False,False
63,SMA,encoding_only,288,4,4,2,2,0.6380691885729091,0.5778554761842098,0.5439015819272958,0.03925131597525178,False,0.6402474312816451,0.8047274071652128,0.39250628282772837,0.0037002113619445387,False,0.019575674787260744,0.5102118517140597,0.4838868381283663,0.6323831293799322,0.29129784127250896,none,False,False,False,False,False
64,SMA,encoding_only,288,4,4,2,2,0.15535401821452313,0.2834470759848726,0.5491047714682861,0.06610893186874034,False,0.3632999443701842,0.6265968763063114,0.13760879093280276,0.011907838060815079,False,0.030214165733218112,0.2547532228266263,0.5727169507949648,0.6012913839443639,0.12112008772741731,none,False,False,False,False,False
65,SMA,encoding_only,288,4,4,2,2,0.7461013063120416,0.9586402805091282,0.37734297884849866,0.03319704816662972,False,0.1005392579662523,0.5398273416456252,0.05920096837814396,0.023730385241652607,False,0.02812177209703337,0.975677047876889,0.29483708277148746,0.460453962512656,0.05189289321386298,none,False,False,False,True,True
66,SMA,encoding_only,288,4,4,2,2,0.1710592841868369,0.8980260265393797,0.8288830362468416,0.050387159838195084,False,0.7242059536491705,0.6496095921631375,0.7490385168417028,0.0014478611055018797,False,0.006527038752027536,0.893754676774903,0.8198410795119198,0.5891228809566379,0.733636617585411,none,False,False,False,True,False
67,A,encoding_only,288,4,4,2,2,0.31664271217007445,0.6274865021774794,0.14788540436866296,0.06089073018642921,False,0.2738525069880509,0.9812829939058171,0.7756990795100771,0.004498446745837548,False,0.025189531908554552,0.6262686274452708,0.15117154251604698,0.8426148425665583,0.7232334428634815,none,False,True,False,False,False
68,A,delay_only,288,4,4,2,2,0.614568598370114,0.02680688237931616,7.150458443988701e-13,0.2339261863192712,False,0.02832365930585521,0.27260243623061964,0.6966713122278132,0.021701948390870807,True,0.21626226744422006,0.022822042803506373,1.140751217002285e-12,0.34526148157241365,0.8658564899832499,numerosity_interaction,True,True,True,False,False
69,A,encoding_only,288,4,4,2,2,0.020021915434738323,0.03416320436314335,0.015218807470623407,0.12691416832933033,True,0.723954529049478,0.24888940569635695,3.204827367884145e-05,0.06157623650880084,False,0.11876890932060602,0.042913873623333404,0.02090380295454206,0.15799045352177765,5.950256210572923e-05,category_interaction,True,True,True,True,True
70,A,encoding_only,288,4,4,2,2,0.3768382687139252,0.44186653267868714,0.06218244233488908,0.06798559104082502,False,0.1845364416509213,0.03355532664174931,0.7822979898507556,0.021837864086358016,False,0.0537535185343786,0.4980356083990126,0.034578201380059445,0.018814225803051574,0.6941700056046948,none,False,False,False,False,False
71,A,encoding_only,288,4,4,2,2,0.5562484972532875,0.7700159770357435,0.09172463609782142,0.05370272632786122,False,0.3938233330571397,0.14294942169236205,0.8375119229982556,0.010087480475493571,False,0.033547787464457524,0.744316844841399,0.1020547555082737,0.15841956292831888,0.8449714086096536,none,False,False,False,False,False
72,A,encoding_only,288,4,4,2,2,0.728147637850589,0.8912548935497641,0.0027036166358371913,0.072401486638218,False,0.2045197884821105,0.8875391064577157,0.41060634603106827,0.008175022495502615,False,0.0537840212665367,0.8569648473150613,0.002986501997932837,0.818027893488175,0.4311672873467707,none,False,False,True,False,False
73,A,encoding_only,288,4,4,2,2,0.48591566101469197,0.8411253439038535,0.010533569585245529,0.07100915660331342,False,0.6251657893942671,0.23706589961557523,0.9239933589716848,0.005884727126542644,False,0.044995972459431655,0.8431664345332353,0.01374060202944582,0.3477256686794683,0.9874634794097608,none,False,True,True,False,False
74,A,encoding_only,288,4,4,2,2,0.6216527392934845,0.025176893480191188,4.7360350595395994e-12,0.22371449272722177,False,0.8138515173190805,0.7858723975952665,0.2992701221161269,0.004439993244124474,False,0.2084355158922414,0.039818169569951274,2.456132946359926e-12,0.35375536597758717,0.36758765415220473,none,False,True,True,False,False
75,A,encoding_only,288,4,4,2,2,0.762592491928384,0.5262509982849058,0.9447095684391776,0.029853704227331246,False,0.6157986837815614,0.859438250617431,0.43999592999394466,0.0031913516222052962,False,0.01299593918836961,0.46342216649804757,0.9277676936907358,0.7955240695623781,0.33532531097120666,none,False,False,False,False,False
76,A,encoding_only,288,4,4,2,2,0.17878596202308647,0.3600514864889189,0.8931961471372445,0.05760755830712139,False,0.2734160994460227,0.17275964711997926,0.8744082267459905,0.010709288395741923,False,0.01918183519421801,0.3891434585285829,0.90200259813524,0.196939083007478,0.9259019255471881,none,False,True,False,False,False
77,A,encoding_only,288,4,4,2,2,0.5664289628074208,0.8155574171122132,0.0007033546506026939,0.08771759125031486,False,0.5976152145760791,0.38598393545845067,0.00043047887600772066,0.0447340335344959,False,0.10235553021626154,0.8443966134708241,0.0007542828981200425,0.24995361068147046,0.0007021610075453577,none,False,True,True,False,True
78,A,encoding_only,288,4,4,2,2,0.24902870888455741,0.40083728121635576,0.3428400456247232,0.061411428793392564,False,0.9204106310087233,0.9745426600403115,0.7009588550789518,0.0005552397569905665,False,0.022516667264233292,0.4160822861950555,0.33320616013821014,0.8816864432628867,0.6642853487400537,none,False,False,False,False,False
79,A,encoding_only,288,4,4,2,2,0.6534577792407534,0.9460981413260731,0.007704477032014928,0.0664535902024449,False,0.5837672437992448,0.7888912067424716,0.9467070398498811,0.0013176038961777436,False,0.043131955058256066,0.9401874579629788,0.0077729001317539325,0.9851400896534869,0.8321328435197354,none,False,True,True,False,False
80,A,encoding_only,288,4,4,2,2,0.7654445840698811,0.9636744753801901,0.004702259512176977,0.06615236503578437,False,0.13841950943629436,0.4274893770432775,0.7683724315479837,0.010351749502392371,False,0.047246503752985225,0.9661426679144922,0.00577351431902532,0.6812209635752815,0.8395947904887051,none,False,True,True,False,False
